DATE,BXM
03/31/2005,679.930000
04/01/2005,677.250000
04/04/2005,679.040000
04/05/2005,681.840000
04/06/2005,683.170000
04/07/2005,685.890000
04/08/2005,682.910000
04/11/2005,683.490000
04/12/2005,686.730000
04/13/2005,680.480000
04/14/2005,673.860000
04/15/2005,664.290000
04/18/2005,666.440000
04/19/2005,669.960000
04/20/2005,663.100000
04/21/2005,673.600000
04/22/2005,670.180000
04/25/2005,674.830000
04/26/2005,670.900000
04/27/2005,673.100000
04/28/2005,667.220000
04/29/2005,673.750000
05/02/2005,675.980000
05/03/2005,675.840000
05/04/2005,681.240000
05/05/2005,680.490000
05/06/2005,680.750000
05/09/2005,683.160000
05/10/2005,679.530000
05/11/2005,682.140000
05/12/2005,677.810000
05/13/2005,676.210000
05/16/2005,681.830000
05/17/2005,685.040000
05/18/2005,686.820000
05/19/2005,687.540000
05/20/2005,684.890000
05/23/2005,686.840000
05/24/2005,687.230000
05/25/2005,686.500000
05/26/2005,688.480000
05/27/2005,689.240000
05/31/2005,687.390000
06/01/2005,690.540000
06/02/2005,691.400000
06/03/2005,689.850000
06/06/2005,690.750000
06/07/2005,690.530000
06/08/2005,690.420000
06/09/2005,692.200000
06/10/2005,692.960000
06/13/2005,693.350000
06/14/2005,693.470000
06/15/2005,694.540000
06/16/2005,694.910000
06/17/2005,690.790000
06/20/2005,690.870000
06/21/2005,690.600000
06/22/2005,690.770000
06/23/2005,685.900000
06/24/2005,682.020000
06/27/2005,681.740000
06/28/2005,687.420000
06/29/2005,686.880000
06/30/2005,682.810000
07/01/2005,684.680000
07/05/2005,690.070000
07/06/2005,685.130000
07/07/2005,686.870000
07/08/2005,693.820000
07/11/2005,696.900000
07/12/2005,697.920000
07/13/2005,699.110000
07/14/2005,699.830000
07/15/2005,700.090000
07/18/2005,698.330000
07/19/2005,701.030000
07/20/2005,702.950000
07/21/2005,700.750000
07/22/2005,702.680000
07/25/2005,701.720000
07/26/2005,702.320000
07/27/2005,704.310000
07/28/2005,705.370000
07/29/2005,703.280000
08/01/2005,704.310000
08/02/2005,712.740000
08/03/2005,706.130000
08/04/2005,704.940000
08/05/2005,703.030000
08/08/2005,702.650000
08/09/2005,705.370000
08/10/2005,705.240000
08/11/2005,707.430000
08/12/2005,706.530000
08/15/2005,707.770000
08/16/2005,704.230000
08/17/2005,705.550000
08/18/2005,705.650000
08/19/2005,707.120000
08/22/2005,708.600000
08/23/2005,707.470000
08/24/2005,704.790000
08/25/2005,706.340000
08/26/2005,703.760000
08/29/2005,707.240000
08/30/2005,705.990000
08/31/2005,710.870000
09/01/2005,711.140000
09/02/2005,710.210000
09/06/2005,715.060000
09/07/2005,716.570000
09/08/2005,715.830000
09/09/2005,717.600000
09/12/2005,718.030000
09/13/2005,717.310000
09/14/2005,717.360000
09/15/2005,718.170000
09/16/2005,720.400000
09/19/2005,718.690000
09/20/2005,715.580000
09/21/2005,711.260000
09/22/2005,713.380000
09/23/2005,714.100000
09/26/2005,714.830000
09/27/2005,715.120000
09/28/2005,715.770000
09/29/2005,719.990000
09/30/2005,720.960000
10/03/2005,720.280000
10/04/2005,715.580000
10/05/2005,706.750000
10/06/2005,704.080000
10/07/2005,706.760000
10/10/2005,701.960000
10/11/2005,700.610000
10/12/2005,696.530000
10/13/2005,696.050000
10/14/2005,701.820000
10/17/2005,703.940000
10/18/2005,696.890000
10/19/2005,707.360000
10/20/2005,696.790000
10/21/2005,697.390000
10/24/2005,703.290000
10/25/2005,702.670000
10/26/2005,701.740000
10/27/2005,698.070000
10/28/2005,704.510000
10/31/2005,706.250000
11/01/2005,704.900000
11/02/2005,707.310000
11/03/2005,707.760000
11/04/2005,708.300000
11/07/2005,708.670000
11/08/2005,708.950000
11/09/2005,709.380000
11/10/2005,709.460000
11/11/2005,709.860000
11/14/2005,709.570000
11/15/2005,709.860000
11/16/2005,709.950000
11/17/2005,710.620000
11/18/2005,705.330000
11/21/2005,707.040000
11/22/2005,708.580000
11/23/2005,708.640000
11/25/2005,709.560000
11/28/2005,707.630000
11/29/2005,708.340000
11/30/2005,707.280000
12/01/2005,709.890000
12/02/2005,710.580000
12/05/2005,710.330000
12/06/2005,711.150000
12/07/2005,710.360000
12/08/2005,710.350000
12/09/2005,711.410000
12/12/2005,712.040000
12/13/2005,712.840000
12/14/2005,713.060000
12/15/2005,713.370000
12/16/2005,710.390000
12/19/2005,708.380000
12/20/2005,708.630000
12/21/2005,709.990000
12/22/2005,712.440000
12/23/2005,712.820000
12/27/2005,708.590000
12/28/2005,709.800000
12/29/2005,708.580000
12/30/2005,706.040000
01/03/2006,714.520000
01/04/2006,715.920000
01/05/2006,716.330000
01/06/2006,719.660000
01/09/2006,720.280000
01/10/2006,720.880000
01/11/2006,721.610000
01/12/2006,720.840000
01/13/2006,721.700000
01/17/2006,721.310000
01/18/2006,721.190000
01/19/2006,723.070000
01/20/2006,711.840000
01/23/2006,713.600000
01/24/2006,715.170000
01/25/2006,714.860000
01/26/2006,718.380000
01/27/2006,721.320000
01/30/2006,721.820000
01/31/2006,720.520000
02/01/2006,721.970000
02/02/2006,718.480000
02/03/2006,716.710000
02/06/2006,717.680000
02/07/2006,713.070000
02/08/2006,718.910000
02/09/2006,718.280000
02/10/2006,720.120000
02/13/2006,718.490000
02/14/2006,724.410000
02/15/2006,726.850000
02/16/2006,728.810000
02/17/2006,727.870000
02/21/2006,727.070000
02/22/2006,730.190000
02/23/2006,728.910000
02/24/2006,729.980000
02/27/2006,731.670000
02/28/2006,727.870000
03/01/2006,731.660000
03/02/2006,731.130000
03/03/2006,730.970000
03/06/2006,728.010000
03/07/2006,727.460000
03/08/2006,729.320000
03/09/2006,726.590000
03/10/2006,731.080000
03/13/2006,732.930000
03/14/2006,736.680000
03/15/2006,737.550000
03/16/2006,738.030000
03/17/2006,736.720000
03/20/2006,736.200000
03/21/2006,734.640000
03/22/2006,737.260000
03/23/2006,736.680000
03/24/2006,737.270000
03/27/2006,736.930000
03/28/2006,734.290000
03/29/2006,738.280000
03/30/2006,737.330000
03/31/2006,735.490000
04/03/2006,737.230000
04/04/2006,740.370000
04/05/2006,742.060000
04/06/2006,741.570000
04/07/2006,737.180000
04/10/2006,738.210000
04/11/2006,734.060000
04/12/2006,735.180000
04/13/2006,736.040000
04/17/2006,734.230000
04/18/2006,744.790000
04/19/2006,746.280000
04/20/2006,747.640000
04/21/2006,744.390000
04/24/2006,743.760000
04/25/2006,741.940000
04/26/2006,743.840000
04/27/2006,745.230000
04/28/2006,745.760000
05/01/2006,744.170000
05/02/2006,747.220000
05/03/2006,745.830000
05/04/2006,747.520000
05/05/2006,747.600000
05/08/2006,750.990000
05/09/2006,751.650000
05/10/2006,751.670000
05/11/2006,748.320000
05/12/2006,740.810000
05/15/2006,743.050000
05/16/2006,742.060000
05/17/2006,729.930000
05/18/2006,725.140000
05/19/2006,726.700000
05/22/2006,725.730000
05/23/2006,724.640000
05/24/2006,725.890000
05/25/2006,732.700000
05/26/2006,732.720000
05/30/2006,726.320000
05/31/2006,730.720000
06/01/2006,735.030000
06/02/2006,735.880000
06/05/2006,730.550000
06/06/2006,730.850000
06/07/2006,729.330000
06/08/2006,730.500000
06/09/2006,729.020000
06/12/2006,721.740000
06/13/2006,715.220000
06/14/2006,719.210000
06/15/2006,734.120000
06/16/2006,731.850000
06/19/2006,728.960000
06/20/2006,729.830000
06/21/2006,733.930000
06/22/2006,732.430000
06/23/2006,731.780000
06/26/2006,734.860000
06/27/2006,730.740000
06/28/2006,733.570000
06/29/2006,741.320000
06/30/2006,740.510000
07/03/2006,742.710000
07/05/2006,741.710000
07/06/2006,742.660000
07/07/2006,741.670000
07/10/2006,742.640000
07/11/2006,743.750000
07/12/2006,741.410000
07/13/2006,736.040000
07/14/2006,735.510000
07/17/2006,735.590000
07/18/2006,736.870000
07/19/2006,745.490000
07/20/2006,744.910000
07/21/2006,740.540000
07/24/2006,748.170000
07/25/2006,749.640000
07/26/2006,750.020000
07/27/2006,749.350000
07/28/2006,752.620000
07/31/2006,752.510000
08/01/2006,751.820000
08/02/2006,753.830000
08/03/2006,754.140000
08/04/2006,754.170000
08/07/2006,754.120000
08/08/2006,754.060000
08/09/2006,754.310000
08/10/2006,755.640000
08/11/2006,755.760000
08/14/2006,756.170000
08/15/2006,757.920000
08/16/2006,758.550000
08/17/2006,758.130000
08/18/2006,758.140000
08/21/2006,756.680000
08/22/2006,757.510000
08/23/2006,756.470000
08/24/2006,757.680000
08/25/2006,757.430000
08/28/2006,759.990000
08/29/2006,760.790000
08/30/2006,761.660000
08/31/2006,761.580000
09/01/2006,763.530000
09/05/2006,764.150000
09/06/2006,761.860000
09/07/2006,760.750000
09/08/2006,763.140000
09/11/2006,763.990000
09/12/2006,766.850000
09/13/2006,767.380000
09/14/2006,767.720000
09/15/2006,766.430000
09/18/2006,767.270000
09/19/2006,766.650000
09/20/2006,769.030000
09/21/2006,766.820000
09/22/2006,765.910000
09/25/2006,769.930000
09/26/2006,772.610000
09/27/2006,772.380000
09/28/2006,773.610000
09/29/2006,772.940000
10/02/2006,772.530000
10/03/2006,773.200000
10/04/2006,776.440000
10/05/2006,776.600000
10/06/2006,776.580000
10/09/2006,777.330000
10/10/2006,777.660000
10/11/2006,778.200000
10/12/2006,778.880000
10/13/2006,779.410000
10/16/2006,779.090000
10/17/2006,779.050000
10/18/2006,780.070000
10/19/2006,780.120000
10/20/2006,778.380000
10/23/2006,779.930000
10/24/2006,780.220000
10/25/2006,781.460000
10/26/2006,782.710000
10/27/2006,780.550000
10/30/2006,781.500000
10/31/2006,782.200000
